id,matricule,Genre,Age,Pays de naissance,Ville de naissance,Etablissement,département,unité organisationnelle,poste,classification,Code-Qualification,expérience en année,Code-Niveau d'expérience,Code-Type de contrat,Type de temps contractuel,Heures de présence / jour,Heures de présence / semaine,Heures de présence / mois,Type travail,Etat de la mobilité,NbAbsencesTotaleParEmployé,taux_absenteisme,Droits Congés Payés,note globale,Rubrique,Montant de l'augmentation,Taux d'augmentation,Motif d'augmentation,Montant du salaire,Situation,salaire_estime,augmentation_estimee_de_salaire
5361,894DATA064,Féminin,25,Maroc,MAR,MA-Cns,Production,DAXON AS,Chargé De Clientèle,Employés,E2,4,J02,DI,temps plein,7.91,39.57,180.0,Sur site,Locale,153,0.1416666666666666,"1,5 jours par mois",-99,SBM,235.0,6.51,Campagne Augmentat,3845.0,Actif,3715.97335235276,-129.02664764724022
2068,328DATA060,Féminin,37,Maroc,MAR,MA-Cns,Production,SFR RED RETENTION,Chargé De Clientèle,Employés,E2,5,J03,DI,temps plein,7.91,39.57,180.0,Sur site,Locale,373,0.2762962962962963,"1,5 jours par mois",-99,SBM,162.0,4.681,Campagne Augmentat,3622.5,Actif,3812.227577681678,189.7275776816782
428,068DATA047,Féminin,28,Maroc,MAR,MA-Cns,Production,FRONT TECH FTTH AE EL JAD,Conseilleur Technique,Employés,E2,6,C02,DI,temps plein,0.0,39.57,180.0,Sur site,Locale,122,0.0753086419753086,"1,5 jours par mois",86,SBM,225.0,5.882,Non défini,4050.0,Actif,4373.508335005027,323.5083350050272
5737,955DATA045,Féminin,49,Maroc,MAR,MA-Cns,Support production,GP VOLUBILIS 1,Intégration & Operations Manager,Cadre,C1,6,J01,DI,temps plein,0.0,39.57,180.0,Sur site,Locale,64,0.0395061728395061,2 jours par mois,108,SBM,2100.0,17.647,Titularisation,14000.0,Actif,14986.071125530269,986.0711255302685
1308,206DATAE20,Féminin,43,Maroc,MAR,MA-Cns,RH,DEP RH MEKNES,Regional Hrbp,Cadre,C2,22,C01,DI,temps plein,0.0,42.0,208.0,Sur site,Locale,397,0.0578379953379953,2 jours par mois,99,SBM,2464.77,10.8,Campagne Augmentat,25286.68,Actif,23098.7205991747,-2187.9594008253007
1374,217DATA036,Masculin,36,Sénégal,TAMBACOUNDA,MA-Cns,Production,SFR N1 ANC FTTX,Conseiller Commercial,Employés,E2,6,J03,DI,temps plein,0.0,39.57,180.0,Sur site,Locale,119,0.0734567901234568,"1,5 jours par mois",93,SBM,180.0,4.681,Non défini,4025.0,Actif,4310.816327533254,285.81632753325357
4401,750DATA068,Féminin,25,Sénégal,SEN,MA-HASSANE2,Production,SFR RET A CHAUD RABAT,Conseiller Commercial,Employés,E2,3,J03,DI,temps plein,7.91,39.57,180.0,Sur site,Locale,33,0.0407407407407407,"1,5 jours par mois",-99,SBM,184.41,4.676,Campagne Augmentat,4128.41,Actif,4188.6992620750925,60.289262075092665
1378,217DATA047,Féminin,38,Maroc,MAR,MA-MKS,Production,SFR RET A CHAUD MKN,Chargé De Clientèle,Employés,E2,6,C02,DI,temps plein,0.0,39.57,180.0,Sur site,Locale,114,0.0703703703703703,"1,5 jours par mois",91,SBM,234.24,5.971,Campagne Augmentat,4157.52,Actif,3904.7374000063946,-252.7825999936058
409,064DATAS50,Masculin,54,Maroc,MAR,MA-Cns,Hors production,DEP GLOBAL NET&SECU OPE,Network&Secu Op Lead,Cadre,C2,5,S01,DI,temps plein,7.91,39.57,208.0,Sur site,Locale,139,0.0891025641025641,2 jours par mois,-99,SBM,2689.54,7.971,Chang Compo Salari,36431.4,Actif,24252.203791407668,-12179.196208592333
981,162DATA064,Féminin,29,Sénégal,SEN,MA-Cns,Production,SFR BOD TACHFINE,Chargé De Clientèle,Employés,E2,4,J03,DI,temps plein,7.91,39.57,180.0,Sur site,Locale,192,0.1777777777777777,"1,5 jours par mois",-99,SBM,180.0,4.681,Campagne Augmentat,4025.0,Actif,3916.9798672703478,-108.02013272965223
1442,226DATA069,Masculin,36,Sénégal,SEN,MA-Cns,Production,DARTY BRUN BLANC,Conseilleur Technique,Employés,E2,3,C01,DI,temps plein,7.91,39.57,180.0,Sur site,Locale,12,0.0148148148148148,"1,5 jours par mois",-99,SBM,225.0,5.59,Non défini,4250.0,Actif,4135.970630787701,-114.02936921229866
3355,565DATA070,Masculin,41,Sénégal,SEN,MA-Cns,Production,RED TECH EXPERTISE FTTH M,Conseiller Digital,Employés,E2,2,J03,DI,temps plein,7.91,39.57,180.0,Sur site,Locale,18,0.0333333333333333,"1,5 jours par mois",-99,SBM,162.0,4.681,Non défini,3622.5,Actif,3540.5738379991462,-81.92616200085376
4184,717DATA043,Féminin,30,Maroc,MAR,MA-Cns,Support production,DEP PILOTAGE MEDV,Analyste Idp,Employés,E3,6,S01,DI,temps plein,0.0,39.57,208.0,Sur site,Locale,212,0.1132478632478632,2 jours par mois,100,SBM,393.65,7.0,Campagne Augmentat,6017.28,Actif,4951.323732988865,-1065.9562670111345
4546,774DATA060,Masculin,31,Maroc,MAR,MA-TAC,Production,SFR ANTICHURN TACH,Chargé De Clientèle,Employés,E2,5,C02,DI,temps plein,7.91,39.57,180.0,Sur site,Locale,121,0.0896296296296296,"1,5 jours par mois",-99,SBM,141.08,3.237,Campagne Augmentat,4500.0,Actif,4550.2613548334075,50.261354833407495
513,080DATA065,Féminin,28,Maroc,MAR,MA-Cns,Production,RED TECH EXPERTISE FTTH M,Conseiller Digital,Employés,E2,4,J03,DI,temps plein,7.91,39.57,180.0,Sur site,Locale,98,0.0907407407407407,"1,5 jours par mois",-99,SBM,162.0,4.681,Campagne Augmentat,3622.5,Actif,3622.500000000002,1.8189894035458565e-12
2158,341DATA069,Féminin,28,Maroc,MAR,MA-HASSANE2,Production,SFR RET AF OFFSHORE,Conseiller Commercial,Employés,E2,3,J03,DI,temps plein,7.91,39.57,180.0,Sur site,Locale,39,0.0481481481481481,"1,5 jours par mois",-99,SBM,184.41,4.676,Campagne Augmentat,4128.41,Actif,3989.25771996853,-139.15228003146967
4776,808DATA033,Féminin,43,Maroc,MAR,MA-Cns,Hors production,DEP PROJETS SIRH,Chef De Projet,Cadres Assimilés,A2,9,C01,DI,temps plein,0.0,39.57,180.0,Sur site,Locale,521,0.2144032921810699,"1,5 jours par mois",-99,SBM,900.0,12.0,Campagne Augmentat,8400.0,Actif,8985.468792236654,585.4687922366538
1725,270DATA035,Féminin,31,Maroc,EL JADIDA,MA-Cns,Production,SFR RET HO EL JADIDA,Responsable D'Équipe,Employés,E4,9,J03,DI,temps plein,4.610516765285995,39.6441459566075,182.884352399737,Sur site,Locale,165,0.0668303332780907,"1,5 jours par mois",89,SBM,450.0,7.143,Campagne Augmentat,6750.0,Actif,6037.172310973797,-712.8276890262032
3649,621DATA059,Féminin,27,Maroc,MAR,MA-Cns,Production,SFR DIGITAL CONV MKN,Conseiller Digital,Employés,E2,5,J02,DI,temps plein,0.0,39.57,180.0,Sur site,Locale,213,0.1577777777777777,"1,5 jours par mois",30,SBM,211.5,6.51,Campagne Augmentat,3460.5,Actif,3666.382046550833,205.8820465508329
3086,516DATA058,Féminin,37,Sénégal,SEN,MA-Cns,Production,DARTY BRUN BLANC,Conseilleur Technique,Employés,E2,5,C01,DI,temps plein,0.0,39.57,180.0,Sur site,Locale,83,0.0614814814814814,"1,5 jours par mois",73,SBM,225.0,5.59,Campagne Augmentat,4250.0,Actif,4616.538239942995,366.53823994299455
2446,399DATA001,Masculin,45,Maroc,CASABLANCA,MA-Cns,Production,SFR B2B IC SEDENTAIRES,Responsable D'Équipe,Cadres Assimilés,A2,11,C02,DI,temps plein,0.0,39.57,208.0,Sur site,Locale,246,0.0716783216783216,"1,5 jours par mois",-99,SBM,500.0,5.952,Campagne Augmentat,8900.0,Actif,8000.667970378513,-899.332029621487
4128,708DATA066,Masculin,30,Maroc,MAR,MA-Cns,Production,SFR RED TLV AS MEKNES,Chargé De Clientèle,Employés,E2,3,J03,DI,temps plein,7.91,39.57,180.0,Sur site,Locale,65,0.0802469135802469,"1,5 jours par mois",-99,SBM,162.0,4.681,Campagne Augmentat,3622.5,Actif,3445.5538992065653,-176.94610079343465
1892,299DATA043,Féminin,35,Maroc,MAR,MA-Cns,Production,SFR FTT ADSL HASSANE,Conseilleur Technique,Employés,E2,6,C02,DI,temps plein,0.0,39.57,180.0,Sur site,Locale,389,0.2401234567901234,"1,5 jours par mois",96,SBM,306.0,7.296,Non défini,4500.0,Actif,4493.0423710062405,-6.957628993759499
3996,685DATA077,Féminin,24,Maroc,MAR,MA-Cns,Production,SFR ANTICHURN AGD 2,Chargé De Clientèle,Employés,E2,1,J02,DI,temps plein,7.91,39.57,180.0,Sur site,Locale,24,0.0888888888888888,"1,5 jours par mois",-99,SBM,0.0,0.0,Non défini,3845.0,Actif,3889.2311100105544,44.2311100105544
2149,339DATA069,Féminin,32,Sénégal,SEN,MA-HASSANE2,Production,SFR RET AF OFFSHORE,Chargé De Clientèle,Employés,E2,3,J03,DI,temps plein,7.91,39.57,180.0,Sur site,Locale,41,0.0506172839506172,"1,5 jours par mois",-99,SBM,184.41,4.676,Campagne Augmentat,4128.41,Actif,4050.607153061358,-77.80284693864178
933,156DATA069,Féminin,25,Maroc,MAR,MA-TAC,Production,SFR STIT OFFSHORE AE TACH,Chargé De Clientèle,Employés,E2,3,J03,DI,temps plein,7.91,39.57,180.0,Sur site,Locale,64,0.0790123456790123,"1,5 jours par mois",-99,SBM,81.0,2.054,Campagne Augmentat,4025.0,Actif,4147.783689919536,122.7836899195363
4758,805DATAE20,Féminin,44,Maroc,MAR,MA-Cns,Production,SFR ATIF PRODUCTION,Conseiller Commercial,Employés,E2,20,S03,DI,temps plein,0.0,42.0,180.0,Sur site,Locale,236,0.0437037037037037,"1,5 jours par mois",115,SBM,196.96,3.074,Non défini,6604.62,Actif,5588.736847469895,-1015.8831525301048
3233,547DATA040,Masculin,34,Sénégal,SEN,MA-TAC,Production,HAPP-E BY ENGIE,Chargé De Clientèle,Employés,E2,7,C01,DI,temps plein,0.0,39.57,180.0,Sur site,Locale,131,0.0693121693121693,"1,5 jours par mois",88,SBM,256.36,6.249,Campagne Augmentat,4358.92,Actif,4738.688331529986,379.7683315299855
4974,836DATA043,Masculin,26,Maroc,MAR,MA-Cns,Support production,DEP PILOTAGE INTOWN,Analyste Idp,Employés,E3,3,J01,DI,temps plein,7.87,39.37,208.0,Sur site,Locale,63,0.0673076923076923,"1,5 jours par mois",83,SBM,195.7,4.0,Campagne Augmentat,5088.31,Actif,5747.047848406812,658.7378484068113
5055,849DATA077,Masculin,31,Maroc,MAR,MA-Cns,Production,SFR RET HO AGD 1,Chargé De Clientèle,Employés,E2,1,J02,DI,temps plein,7.91,39.57,180.0,Sur site,Locale,40,0.1481481481481481,"1,5 jours par mois",-99,SBM,0.0,0.0,Non défini,3845.0,Actif,3889.2311100105544,44.2311100105544
5861,978DATA045,Masculin,31,Maroc,MAR,MA-Cns,Production,SFR N1 ANC FTTX,Conseiller Commercial,Employés,E2,6,C01,DI,temps plein,0.0,39.57,180.0,Sur site,Locale,180,0.1111111111111111,"1,5 jours par mois",94,SBM,225.0,5.59,Campagne Augmentat,4250.0,Actif,4138.830702937848,-111.1692970621516
3743,638DATA041,Masculin,35,Maroc,MEKNES,MA-MKS,Production,SFR RET A CHAUD MKN,Chargé De Clientèle,Employés,E2,7,C01,DI,temps plein,0.0,39.57,180.0,Sur site,Locale,457,0.2417989417989418,"1,5 jours par mois",99,SBM,98.28,2.569,Mutation,3923.28,Actif,3879.449850618303,-43.83014938169708
2123,337DATA000,Féminin,38,Maroc,CASABLANCA,MA-Cns,Production,MEILLEURSTAUX,Responsable D'Équipe,Cadres Assimilés,A2,15,J03,DI,temps plein,7.5,39.57,180.0,Sur site,Locale,592,0.1461728395061728,"1,5 jours par mois",116,SBM,500.0,7.143,Campagne Augmentat,7500.0,Actif,7513.352898357715,13.352898357715276
5817,969DATA071,Féminin,36,Sénégal,SEN,MA-Cns,Production,SFR FTT ADSL HASSANE,Conseilleur Technique,Employés,E2,2,J02,DI,temps plein,7.91,39.57,180.0,Sur site,Locale,153,0.2833333333333333,"1,5 jours par mois",-99,SBM,0.0,0.0,Non défini,3845.0,Actif,4033.7068115038387,188.7068115038387
966,160DATA063,Masculin,37,Sénégal,SEN,MA-Cns,Production,RED TECH EXPERTISE FTTH M,Conseiller Digital,Employés,E2,4,J03,DI,temps plein,7.91,39.57,180.0,Sur site,Locale,66,0.0611111111111111,"1,5 jours par mois",-99,SBM,162.0,4.681,Campagne Augmentat,3622.5,Actif,3581.3027233875546,-41.19727661244542
178,030DATA073,Féminin,26,Maroc,MAR,MA-Cns,Production,SFR RED TLV AS MEKNES,Chargé De Clientèle,Employés,E2,1,J01,DI,temps plein,7.91,39.57,180.0,Sur site,Locale,26,0.0962962962962963,"1,5 jours par mois",-99,SBM,0.0,0.0,Non défini,3249.0,Actif,3353.083332298109,104.08333229810887
1857,293DATA038,Féminin,32,Maroc,MAR,MA-Cns,Production,SFR RET HO EL JADIDA,Conseiller Commercial,Employés,E2,8,C03,DI,temps plein,0.0,39.57,180.0,Sur site,Locale,150,0.0694444444444444,"1,5 jours par mois",93,SBM,225.0,5.556,Campagne Augmentat,4275.0,Actif,4217.60470996914,-57.39529003086045
4775,808DATA031,Féminin,37,Maroc,CASABLANCA,MA-Cns,Support production,QM TL 3 MAROC,Contrôleur Qualité,Employés,E3,11,S02,DI,temps plein,0.0,39.57,180.0,Sur site,Locale,308,0.1037037037037037,"1,5 jours par mois",115,SBM,500.0,7.692,Non défini,7000.0,Actif,6371.223959796401,-628.7760402035992
4089,702DATA069,Masculin,30,Maroc,MAR,MA-Cns,Production,SFR N1 Tech FTTH AE OUJDA,Responsable D'Équipe,Cadres Assimilés,A2,3,C01,DI,temps plein,7.91,39.57,180.0,Travail à distance,Locale,21,0.0259259259259259,"1,5 jours par mois",-99,SBM,0.0,0.0,Non défini,6300.0,Actif,6445.394710547799,145.39471054779915
2090,331DATA046,Féminin,44,Maroc,MAR,MA-Cns,Production,AMENDIS,Chargé De Clientèle,Employés,E2,5,J02,DI,temps plein,4.610516765285995,39.6441459566075,182.884352399737,Sur site,Locale,81,0.0590537126784583,"1,5 jours par mois",95,SBM,180.0,4.681,Non défini,4025.0,Actif,4195.136380844093,170.13638084409286
3329,561DATA071,Masculin,43,Maroc,MAR,MA-Cns,Production,DARTY BRUN BLANC,Conseilleur Technique,Employés,E2,2,J03,DI,temps plein,7.91,39.57,180.0,Sur site,Locale,13,0.024074074074074,"1,5 jours par mois",-99,SBM,180.0,4.681,Campagne Augmentat,4025.0,Actif,4147.783689919529,122.78368991952902
2820,466DATA069,Masculin,28,Maroc,MAR,MA-Cns,Production,SFR CSF RET TECH  EL JAD,Chargé De Clientèle,Employés,E2,3,J03,DI,temps plein,7.91,39.57,180.0,Sur site,Locale,131,0.1617283950617284,"1,5 jours par mois",-99,SBM,162.0,4.681,Non défini,3622.5,Actif,3770.1080453864583,147.60804538645834
5137,860DATA040,Féminin,29,Maroc,CASABLANCA,MA-Cns,Hors production,DEP TALENT MANAGEMENT,Chargé De Formation Et Développement Des Ressources Humaines,Cadres Assimilés,A2,3,C01,DI,temps plein,7.91,39.57,208.0,Sur site,Locale,55,0.0587606837606837,"1,5 jours par mois",-99,SBM,359.05,4.0,Campagne Augmentat,9335.29,Actif,6473.193139363894,-2862.0968606361066
2815,466DATA040,Masculin,31,Maroc,MAR,MA-Cns,Production,FRONT TECH FTTH AE EL JAD,Conseilleur Technique,Employés,E2,7,C02,DI,temps plein,0.0,39.57,180.0,Sur site,Locale,276,0.146031746031746,"1,5 jours par mois",103,SBM,225.0,5.882,Campagne Augmentat,4050.0,Actif,4040.2881235864584,-9.711876413541631
303,046DATA077,Féminin,22,Maroc,MAR,MA-Cns,Production,SFR ANTICHURN AGD 2,Chargé De Clientèle,Employés,E2,1,J02,DI,temps plein,7.91,39.57,180.0,Sur site,Locale,30,0.1111111111111111,"1,5 jours par mois",-99,SBM,0.0,0.0,Non défini,3845.0,Actif,3889.231110010561,44.231110010561224
1870,295DATA047,Féminin,32,Maroc,MAR,MA-Cns,Hors production,DEP SUPPORT & TRANSPORT,Chargé Logistique Et Affaires Générales,Cadres Assimilés,A3,6,J01,DI,temps plein,0.0,39.57,208.0,Sur site,Locale,119,0.063568376068376,2 jours par mois,4,SBM,485.26,6.0,Campagne Augmentat,8572.96,Actif,10381.685529613547,1808.7255296135481
2140,338DATA065,Féminin,26,Maroc,MAR,MA-Cns,Production,RED TECH EXPERTISE FTTH M,Conseiller Digital,Employés,E2,3,J03,DI,temps plein,7.91,39.57,180.0,Sur site,Locale,98,0.1209876543209876,"1,5 jours par mois",-99,SBM,162.0,4.681,Campagne Augmentat,3622.5,Actif,3622.500000000002,1.8189894035458565e-12
3255,551DATA069,Masculin,31,Maroc,MAR,MA-Cns,Production,SFR CSF RET TECH  EL JAD,Conseilleur Technique,Employés,E2,3,J03,DI,temps plein,7.91,39.57,180.0,Sur site,Locale,62,0.0765432098765432,"1,5 jours par mois",-99,SBM,162.0,4.681,Campagne Augmentat,3622.5,Actif,3672.0973655138127,49.59736551381275
1622,253DATA058,Masculin,42,Maroc,MAR,MA-Cns,Support production,GP MEKNES 2,Intégration & Operations Manager,Cadre,C1,5,J02,DI,temps plein,0.0,39.57,180.0,Sur site,Locale,114,0.0844444444444444,2 jours par mois,0,SBM,849.36,7.816,Campagne Augmentat,11716.36,Actif,14314.73608993786,2598.3760899378594
4118,707DATA044,Féminin,38,Maroc,MAR,MA-Cns,Production,SFR BO RECOURS,Conseiller Commercial,Employés,E2,6,C03,DI,temps plein,0.0,39.57,180.0,Sur site,Locale,117,0.0722222222222222,"1,5 jours par mois",96,SBM,250.0,5.556,Campagne Augmentat,4750.0,Actif,4463.8136226409215,-286.1863773590785
5773,960DATA041,Masculin,33,Maroc,MAR,MA-Cns,Production,SFR FTT ADSL HASSANE,Responsable D'Équipe,Cadres Assimilés,A2,7,C01,DI,temps plein,0.0,39.57,180.0,Sur site,Locale,129,0.0682539682539682,"1,5 jours par mois",111,SBM,1400.0,20.0,Campagne Augmentat,8400.0,Actif,7260.141948006605,-1139.8580519933948
5715,951DATA076,Masculin,30,Maroc,MAR,MA-Cns,Production,SFR RET HO AGD 1,Chargé De Clientèle,Employés,E2,1,J03,DI,temps plein,7.91,39.57,180.0,Sur site,Locale,23,0.0851851851851851,"1,5 jours par mois",-99,SBM,180.0,4.681,Non défini,4025.0,Actif,3933.970902052515,-91.02909794748484
4595,782DATA045,Masculin,30,Maroc,MAR,MA-Cns,Production,SFR BACK EXCLU MULTI DOSS,Conseilleur Technique,Employés,E2,6,C03,DI,temps plein,0.0,39.57,180.0,Sur site,Locale,77,0.0475308641975308,"1,5 jours par mois",94,SBM,250.0,5.556,Campagne Augmentat,4750.0,Actif,4445.02692474512,-304.9730752548803
1392,219DATA065,Féminin,27,Maroc,MAR,MA-Cns,Production,ORANGE B2C EL JADIDA,Responsable D'Équipe,Employés,E2,3,C01,DI,temps plein,7.91,39.57,180.0,Sur site,Locale,44,0.0543209876543209,"1,5 jours par mois",-99,SBM,202.5,5.59,Campagne Augmentat,3825.0,Actif,3581.3027233875546,-243.69727661244542
635,102DATA036,Féminin,34,Maroc,CASABLANCA,MA-Cns,Production,MEILLEURSTAUX,Chargé De Clientèle,Employés,E2,2,J03,DI,temps plein,7.91,39.57,180.0,Sur site,Locale,92,0.1703703703703703,"1,5 jours par mois",-99,SBM,180.0,4.681,Campagne Augmentat,4025.0,Actif,4246.048141740598,221.0481417405981
1959,310DATA077,Masculin,32,Rép centrafricaine,CAF,MA-Cns,Production,SFR RET HO AGD 1,Chargé De Clientèle,Employés,E2,1,J02,DI,temps plein,7.91,39.57,180.0,Sur site,Locale,21,0.0777777777777777,"1,5 jours par mois",-99,SBM,0.0,0.0,Non défini,3845.0,Actif,3889.231110010561,44.231110010561224
3838,656DATA046,Masculin,30,Sénégal,SEN,MA-Cns,Production,SFR BOT FTTH,Conseilleur Technique,Employés,E2,6,C01,DI,temps plein,0.0,39.57,180.0,Sur site,Locale,75,0.0462962962962962,"1,5 jours par mois",99,SBM,225.0,5.59,Campagne Augmentat,4250.0,Actif,4432.3675086634075,182.36750866340753
2146,339DATA044,Masculin,29,Maroc,MAR,MA-InTown,Hors production,DEP GLOBAL NET&SECU OPE,Cybersecurity Engineer,Cadres Assimilés,A2,6,S01,DI,temps plein,0.0,39.57,208.0,Sur site,Locale,136,0.0726495726495726,2 jours par mois,120,SBM,3472.72,51.009,Chang Compo Salari,10280.72,Actif,8722.877458052117,-1557.8425419478826
4202,719DATA001,Féminin,42,Maroc,CASABLANCA,MA-Cns,Support production,QM TL 4 MAROC,Contrôleur Qualité,Employés,E3,7,C03,DI,temps plein,0.0,39.57,180.0,Sur site,Locale,573,0.3031746031746031,"1,5 jours par mois",108,SBM,250.0,4.348,Non défini,6000.0,Actif,6082.654390666637,82.65439066663657
1038,169DATA067,Féminin,33,Maroc,MAR,MA-Cns,Production,SFR N1 Tech FTTH AE OUJDA,Conseilleur Technique,Employés,E2,3,J02,DI,temps plein,7.91,39.57,180.0,Travail à distance,Locale,44,0.0543209876543209,"1,5 jours par mois",-99,SBM,39.3,1.358,Augmentation SMIG,2932.2,Actif,2955.94266520492,23.742665204920286
4709,798DATA071,Masculin,28,Maroc,MAR,MA-Cns,Production,SFR RED TLV AS MEKNES,Chargé De Clientèle,Employés,E2,2,J02,DI,temps plein,7.91,39.57,180.0,Sur site,Locale,18,0.0333333333333333,"1,5 jours par mois",-99,SBM,211.5,6.51,Campagne Augmentat,3460.5,Actif,3353.083332298109,-107.41666770189113
3358,566DATA058,Masculin,38,Sénégal,SEN,MA-TAC,Production,SFR ANTICHURN TACH,Chargé De Clientèle,Employés,E2,5,C02,DI,temps plein,0.0,39.57,180.0,Sur site,Locale,68,0.0503703703703703,"1,5 jours par mois",34,SBM,141.08,3.237,Non défini,4500.0,Actif,4457.31627478628,-42.68372521372021
